sample_id,time_day,VS_g_L,C_pct,H_pct,N_pct,Phenols_g_L,Cumulative_CH4_L_kg_VS,Daily_CH4_L_kg_VS,pH,VFA_mg_L,Temp_C
1,1,  8.59,27.30, 3.91, 2.66, 0.37,   26.26,   26.16,6.809,  822.28,35.10
1,2,  8.59,27.30, 3.91, 2.66, 0.37,   29.29,    3.40,6.868,  909.71,34.93
1,3,  8.59,27.30, 3.91, 2.66, 0.37,   33.44,    3.57,6.720, 1004.73,34.89
1,4,  8.59,27.30, 3.91, 2.66, 0.37,   40.61,    3.73,6.633, 1111.03,35.51
1,5,  8.59,27.30, 3.91, 2.66, 0.37,   38.60,    3.86,6.625, 1228.19,34.94
1,6,  8.59,27.30, 3.91, 2.66, 0.37,   44.82,    3.98,6.540, 1357.52,35.28
1,7,  8.59,27.30, 3.91, 2.66, 0.37,   48.01,    4.07,6.478, 1500.74,34.97
1,8,  8.59,27.30, 3.91, 2.66, 0.37,   51.58,    4.14,6.446, 1356.77,35.06
1,9,  8.59,27.30, 3.91, 2.66, 0.37,   60.82,    4.19,6.614, 1228.69,35.27
1,10,  8.59,27.30, 3.91, 2.66, 0.37,   61.12,    4.22,6.650, 1111.58,34.78
1,11,  8.59,27.30, 3.91, 2.66, 0.37,   62.92,    4.22,6.753, 1005.36,34.56
1,12,  8.59,27.30, 3.91, 2.66, 0.37,   68.63,    4.21,6.683,  909.31,34.94
1,13,  8.59,27.30, 3.91, 2.66, 0.37,   78.92,    4.18,6.884,  822.69,34.54
1,14,  8.59,27.30, 3.91, 2.66, 0.37,   82.10,    4.14,6.724,  744.88,34.77
1,15,  8.59,27.30, 3.91, 2.66, 0.37,   83.55,    4.08,6.870,  674.10,35.49
1,16,  8.59,27.30, 3.91, 2.66, 0.37,   83.54,    4.00,6.979,  609.71,35.11
1,17,  8.59,27.30, 3.91, 2.66, 0.37,   92.62,    3.92,6.905,  551.48,35.07
1,18,  8.59,27.30, 3.91, 2.66, 0.37,   92.44,    3.82,6.952,  498.91,35.20
1,19,  8.59,27.30, 3.91, 2.66, 0.37,   97.82,    3.72,7.058,  451.24,34.50
1,20,  8.59,27.30, 3.91, 2.66, 0.37,   99.48,    3.61,7.047,  409.04,35.33
1,21,  8.59,27.30, 3.91, 2.66, 0.37,  106.94,    3.50,7.012,  369.21,34.77
1,22,  8.59,27.30, 3.91, 2.66, 0.37,  108.62,    3.38,7.034,  335.24,34.70
1,23,  8.59,27.30, 3.91, 2.66, 0.37,  113.18,    3.26,7.140,  303.14,35.37
1,24,  8.59,27.30, 3.91, 2.66, 0.37,  114.41,    3.14,7.060,  273.91,35.54
1,25,  8.59,27.30, 3.91, 2.66, 0.37,  117.01,    3.01,7.076,  248.21,35.88
1,26,  8.59,27.30, 3.91, 2.66, 0.37,  121.07,    2.89,6.995,  223.55,35.30
1,27,  8.59,27.30, 3.91, 2.66, 0.37,  124.20,    2.76,7.037,  203.06,35.07
1,28,  8.59,27.30, 3.91, 2.66, 0.37,  126.32,    2.64,7.110,  183.47,34.64
1,29,  8.59,27.30, 3.91, 2.66, 0.37,  126.83,    2.52,7.128,  166.70,35.45
1,30,  8.59,27.30, 3.91, 2.66, 0.37,  133.56,    2.40,7.101,  150.29,34.88
1,31,  8.59,27.30, 3.91, 2.66, 0.37,  137.21,    2.29,7.168,  135.52,34.84
1,32,  8.59,27.30, 3.91, 2.66, 0.37,  136.14,    2.17,7.086,  122.75,35.17
1,33,  8.59,27.30, 3.91, 2.66, 0.37,  138.55,    2.07,7.193,  112.11,35.38
1,34,  8.59,27.30, 3.91, 2.66, 0.37,  139.93,    1.96,7.116,  101.42,35.65
1,35,  8.59,27.30, 3.91, 2.66, 0.37,  143.89,    1.86,7.101,   90.66,34.76
1,36,  8.59,27.30, 3.91, 2.66, 0.37,  144.92,    1.76,7.142,   83.19,35.03
1,37,  8.59,27.30, 3.91, 2.66, 0.37,  140.35,    1.66,7.215,   73.92,35.09
1,38,  8.59,27.30, 3.91, 2.66, 0.37,  144.42,    1.57,7.134,   66.88,34.80
1,39,  8.59,27.30, 3.91, 2.66, 0.37,  147.67,    1.49,7.173,   60.99,35.36
1,40,  8.59,27.30, 3.91, 2.66, 0.37,  147.39,    1.40,7.200,   55.42,35.16
1,41,  8.59,27.30, 3.91, 2.66, 0.37,  151.66,    1.32,7.204,   50.92,35.13
1,42,  8.59,27.30, 3.91, 2.66, 0.37,  150.01,    1.25,7.212,   45.59,34.98
1,43,  8.59,27.30, 3.91, 2.66, 0.37,  154.63,    1.18,7.280,   41.59,35.26
1,44,  8.59,27.30, 3.91, 2.66, 0.37,  152.88,    1.11,7.126,   36.58,35.04
1,45,  8.59,27.30, 3.91, 2.66, 0.37,  155.05,    1.04,7.287,   33.69,35.06
1,46,  8.59,27.30, 3.91, 2.66, 0.37,  154.45,    0.98,7.170,   30.09,35.28
2,1,  9.39,27.66, 3.63, 2.97, 1.12,    7.21,    9.04,6.770,  822.48,34.97
2,2,  9.39,27.66, 3.63, 2.97, 1.12,   11.41,    2.56,6.761,  909.16,34.55
2,3,  9.39,27.66, 3.63, 2.97, 1.12,   14.05,    2.94,6.673, 1006.09,34.83
2,4,  9.39,27.66, 3.63, 2.97, 1.12,   19.61,    3.30,6.656, 1111.80,34.65
2,5,  9.39,27.66, 3.63, 2.97, 1.12,   21.79,    3.64,6.555, 1227.77,35.17
2,6,  9.39,27.66, 3.63, 2.97, 1.12,   18.81,    3.94,6.486, 1357.30,35.18
2,7,  9.39,27.66, 3.63, 2.97, 1.12,   27.91,    4.20,6.466, 1499.28,34.45
2,8,  9.39,27.66, 3.63, 2.97, 1.12,   35.58,    4.40,6.592, 1357.64,35.07
2,9,  9.39,27.66, 3.63, 2.97, 1.12,   38.12,    4.55,6.588, 1227.59,34.85
2,10,  9.39,27.66, 3.63, 2.97, 1.12,   44.95,    4.65,6.646, 1111.18,35.08
2,11,  9.39,27.66, 3.63, 2.97, 1.12,   50.46,    4.70,6.725, 1004.52,35.02
2,12,  9.39,27.66, 3.63, 2.97, 1.12,   54.49,    4.71,6.783,  910.37,35.53
2,13,  9.39,27.66, 3.63, 2.97, 1.12,   54.66,    4.67,6.785,  823.01,34.76
2,14,  9.39,27.66, 3.63, 2.97, 1.12,   63.57,    4.59,6.862,  744.74,34.79
2,15,  9.39,27.66, 3.63, 2.97, 1.12,   67.04,    4.48,6.907,  673.91,35.62
2,16,  9.39,27.66, 3.63, 2.97, 1.12,   71.69,    4.34,6.907,  610.82,34.84
2,17,  9.39,27.66, 3.63, 2.97, 1.12,   73.51,    4.18,6.869,  551.98,35.01
2,18,  9.39,27.66, 3.63, 2.97, 1.12,   79.77,    4.00,6.963,  499.05,35.20
2,19,  9.39,27.66, 3.63, 2.97, 1.12,   81.12,    3.81,7.054,  451.47,34.77
2,20,  9.39,27.66, 3.63, 2.97, 1.12,   87.18,    3.62,7.049,  409.24,35.08
2,21,  9.39,27.66, 3.63, 2.97, 1.12,   91.72,    3.42,7.128,  369.31,35.05
2,22,  9.39,27.66, 3.63, 2.97, 1.12,   94.77,    3.22,7.089,  335.18,35.15
2,23,  9.39,27.66, 3.63, 2.97, 1.12,   95.94,    3.01,7.040,  303.58,34.99
