sample_id,process_type,C_pct,H_pct,O_pct,N_pct,S_pct,cellulose_pct,hemicellulose_pct,lignin_pct,ash_pct,temperature_C,pressure_bar,residence_time_h,gasifying_agent,CO_yield_pct,H2_yield_pct,CH4_yield_pct,CO2_yield_pct,LHV_MJ_Nm3,bio_oil_yield_pct,biochar_yield_pct,syngas_yield_pct,hydrochar_yield_pct,HHV_hydrochar_MJ_kg
1,1,30.00,2.57,31.49,1.44,0.38,11.38, 1.28,10.54,29.37, 713.9, 1.6, 1.9,2,13.97, 9.97,10.87, 7.82, 7.35, 0.00, 1.79,*****, 3.81, 1.23
2,1,30.30,2.89,33.53,1.62,0.33,11.68, 1.12,11.92,32.62, 869.9, 3.3, 0.7,2,21.98,15.61, 9.86, 3.74, 8.20, 0.00, 2.94,98.61, 3.98, 0.00
3,1,31.39,2.78,31.54,1.64,0.38,11.56, 1.23,10.26,29.53, 743.4, 2.8, 1.8,2,17.72,12.22,11.37, 8.99, 7.23, 0.00, 2.31,*****, 5.43, 0.00
4,1,31.55,2.75,30.51,1.52,0.31,10.94, 1.35, 9.73,26.22, 753.0, 2.9, 1.9,2,19.90,12.27,11.37, 8.89, 7.44, 1.47, 0.00,*****, 2.23, 0.00
5,1,29.50,2.66,35.53,1.48,0.33,12.01, 1.56,11.78,34.33, 822.7, 4.3, 1.0,2,21.01,13.42,10.00, 6.24, 7.60, 1.56, 0.60,97.84, 0.00, 0.00
6,1,31.69,2.82,33.47,1.71,0.35,11.31, 1.08,10.75,28.32, 761.1, 1.3, 2.4,1,20.63,10.27,11.59, 8.18, 7.60, 0.00, 0.00,*****, 0.00, 0.57
7,1,30.18,2.69,33.49,1.78,0.35,12.19, 2.47,11.66,28.15, 858.5, 2.2, 0.7,3,20.15,18.55, 9.31, 2.70, 8.27, 0.00, 0.90,99.88, 0.00, 0.87
8,1,29.06,2.55,30.40,1.57,0.33,10.81, 2.10,11.83,25.98, 772.3, 3.6, 1.8,2,19.81,11.42,10.03, 7.42, 7.28, 0.97, 2.57,96.46, 0.00, 0.00
9,1,29.46,2.81,31.82,1.75,0.35,11.47, 1.08,10.32,29.19, 898.5, 2.9, 1.5,2,20.85,17.90,10.31, 3.06, 7.93, 0.00, 0.20,*****, 1.20, 0.00
10,1,28.02,2.61,30.27,1.56,0.31,12.40, 1.30,10.25,25.59, 803.2, 3.2, 2.3,2,20.60,12.88,11.14, 6.97, 8.16, 1.15, 0.00,*****, 0.00, 0.00
11,1,29.04,2.95,31.89,1.78,0.39,10.36, 2.41,10.21,28.01, 715.4, 1.3, 0.9,2,17.82,11.26,10.50, 9.26, 6.82, 0.00, 0.77,*****, 0.96, 0.00
12,1,29.46,2.75,32.96,1.46,0.33,10.05, 1.81,11.32,26.41, 710.2, 2.8, 1.8,1,20.54, 7.54,11.46, 7.03, 7.18, 0.00, 0.01,*****, 0.07, 0.21
13,1,29.94,2.56,34.35,1.80,0.34,10.03, 1.31,10.88,26.62, 871.4, 2.5, 1.2,1,21.16,12.88,11.29, 3.76, 8.04, 1.90, 1.18,96.92, 1.77, 0.76
14,1,29.46,2.64,30.77,1.71,0.34,10.70, 1.52, 9.34,31.26, 740.8, 3.9, 2.0,1,19.75, 9.36,10.99, 7.48, 7.53, 0.28, 0.00,99.98, 0.00, 0.25
15,1,28.10,2.66,34.16,1.74,0.32,12.11, 1.96,10.17,28.79, 884.4, 3.8, 2.3,3,24.90,17.70, 9.46, 4.12, 8.05, 2.85, 0.88,96.26, 0.00, 0.00
16,1,28.97,2.61,35.95,1.70,0.30,10.75, 2.02, 9.12,25.29, 854.3, 3.2, 0.8,3,22.60,17.74, 9.95, 4.61, 8.16, 0.13, 1.93,97.95, 0.00, 0.00
17,1,28.18,2.59,35.56,1.69,0.33,11.62, 2.37,10.74,27.43, 826.2, 1.5, 2.5,3,21.07,16.18, 9.34, 6.40, 7.54, 2.43, 0.00,98.13, 0.56, 0.00
18,1,28.10,2.92,31.66,1.54,0.38,12.30, 1.33,10.46,29.29, 856.0, 2.8, 1.6,3,23.12,17.18, 9.14, 5.19, 7.86, 2.55, 0.40,97.05, 0.00, 0.00
19,1,28.46,2.53,33.61,1.69,0.37,10.78, 1.97, 9.96,29.01, 790.8, 1.9, 1.6,3,20.05,15.10, 9.10, 4.70, 6.85, 0.00, 0.00,*****, 0.00, 0.00
20,1,31.37,2.58,35.58,1.41,0.33,12.58, 1.85,10.47,32.65, 840.9, 2.7, 0.8,2,24.38,14.52,10.81, 5.67, 7.69, 0.47, 0.08,99.45, 1.88, 0.00
21,1,29.81,2.97,30.21,1.72,0.31,12.43, 2.34,11.23,32.43, 889.2, 4.0, 0.7,2,24.96,16.47, 9.67, 0.80, 8.98, 1.64, 0.68,97.68, 0.00, 0.63
22,1,29.64,2.94,33.47,1.48,0.36,12.38, 1.04,10.18,27.50, 860.2, 1.4, 0.6,2,22.00,14.68, 9.99, 5.41, 8.57, 0.00, 0.00,*****, 0.00, 1.94
23,1,31.21,2.84,33.63,1.55,0.32,11.67, 1.23,11.83,26.49, 720.3, 4.5, 0.8,2,19.85,11.19,11.05, 8.23, 7.24, 2.46, 0.00,98.78, 0.00, 0.81
